contig,start,end,reads,pct_of_aligned
JBQVBD010000016.1,2726334,2726748,4637,0.0064
JBQVBD010000007.1,306983,308380,4586,0.0063
JBQVBD010000015.1,635495,636536,4577,0.0063
JBQVBD010000016.1,5078459,5078816,4557,0.0063
JBQVBD010000010.1,1978821,1979326,4517,0.0062
JBQVBD010000014.1,1226939,1227637,4512,0.0062
JBQVBD010000016.1,2476124,2477796,4476,0.0061
JBQVBD010000017.1,4150136,4154353,4473,0.0061
JBQVBD010000017.1,4171744,4172990,4463,0.0061
JBQVBD010000010.1,1456348,1456600,4408,0.0060
JBQVBD010000010.1,2218612,2219577,4399,0.0060
JBQVBD010000015.1,1880119,1880565,4349,0.0060
JBQVBD010000016.1,2100930,2101741,4325,0.0059
JBQVBD010000016.1,601270,601491,4279,0.0059
JBQVBD010000015.1,340736,341365,4254,0.0058
JBQVBD010000015.1,3438249,3438921,4128,0.0057
JBQVBD010000016.1,4547997,4550698,4114,0.0056
JBQVBD010000014.1,1753774,1753935,4085,0.0056
JBQVBD010000017.1,2472660,2474859,4070,0.0056
JBQVBD010000012.1,2632271,2635544,4070,0.0056
JBQVBD010000015.1,496366,497022,4054,0.0056
JBQVBD010000016.1,3007988,3008155,4051,0.0056
JBQVBD010000011.1,79071,79802,4045,0.0055
JBQVBD010000016.1,3258015,3258383,4028,0.0055
JBQVBD010000007.1,318247,318526,3871,0.0053
JBQVBD010000010.1,1001697,1002390,3862,0.0053
CM148777.1,12124,17049,3832,0.0053
JBQVBD010000017.1,3078265,3078513,3831,0.0053
JBQVBD010000017.1,3331299,3331906,3809,0.0052
JBQVBD010000017.1,4352750,4353461,3793,0.0052
JBQVBD010000011.1,1421604,1422220,3791,0.0052
JBQVBD010000011.1,665547,666350,3762,0.0052
JBQVBD010000015.1,3971053,3972111,3746,0.0051
JBQVBD010000011.1,2213225,2215903,3726,0.0051
JBQVBD010000014.1,776618,777152,3689,0.0051
JBQVBD010000011.1,1201129,1201655,3674,0.0050
JBQVBD010000012.1,258590,258940,3664,0.0050
JBQVBD010000012.1,1631317,1631505,3580,0.0049
JBQVBD010000009.1,293971,294200,3571,0.0049
JBQVBD010000009.1,467890,468254,3548,0.0049
JBQVBD010000016.1,3830994,3831225,3517,0.0048
JBQVBD010000013.1,2498944,2499636,3516,0.0048
JBQVBD010000008.1,1960901,1960988,3511,0.0048
JBQVBD010000017.1,3759405,3761131,3501,0.0048
JBQVBD010000016.1,2258902,2259519,3491,0.0048
JBQVBD010000007.1,449985,450285,3451,0.0047
JBQVBD010000016.1,1671985,1672910,3418,0.0047
JBQVBD010000017.1,1552233,1552915,3402,0.0047
JBQVBD010000010.1,2270162,2270339,3400,0.0047
JBQVBD010000009.1,678744,679310,3391,0.0047
JBQVBD010000015.1,2697124,2697460,3387,0.0046
JBQVBD010000016.1,4995675,4996299,3353,0.0046
JBQVBD010000015.1,830806,831395,3342,0.0046
JBQVBD010000013.1,470418,471028,3321,0.0046
JBQVBD010000017.1,4548322,4548785,3312,0.0045
JBQVBD010000017.1,4244553,4249369,3311,0.0045
JBQVBD010000011.1,1977924,1979701,3294,0.0045
JBQVBD010000007.1,709539,711090,3285,0.0045
JBQVBD010000015.1,3116015,3116303,3272,0.0045
JBQVBD010000013.1,2288437,2288662,3257,0.0045
JBQVBD010000012.1,366330,366543,3253,0.0045
JBQVBD010000017.1,3261673,3262284,3252,0.0045
JBQVBD010000016.1,4209089,4210207,3238,0.0044
JBQVBD010000010.1,2416677,2417606,3205,0.0044
JBQVBD010000014.1,2011442,2012396,3194,0.0044
JBQVBD010000017.1,3324627,3326165,3181,0.0044
JBQVBD010000010.1,1489390,1490622,3162,0.0043
JBQVBD010000010.1,2270704,2272154,3145,0.0043
JBQVBD010000014.1,2030094,2030907,3131,0.0043
JBQVBD010000016.1,4563124,4563525,3097,0.0042
JBQVBD010000015.1,2321485,2324692,3084,0.0042
JBQVBD010000013.1,770449,770736,3081,0.0042
JBQVBD010000009.1,1904868,1905110,3076,0.0042
JBQVBD010000004.1,895843,899781,3019,0.0041
JBQVBD010000017.1,2101825,2102141,2965,0.0041
JBQVBD010000017.1,1970912,1971453,2960,0.0041
JBQVBD010000007.1,1388461,1389465,2951,0.0040
JBQVBD010000014.1,2876943,2877913,2937,0.0040
JBQVBD010000015.1,281142,282611,2923,0.0040
JBQVBD010000016.1,47136,47359,2898,0.0040
JBQVBD010000011.1,549458,549714,2896,0.0040
JBQVBD010000015.1,2453669,2455424,2885,0.0040
JBQVBD010000013.1,2591106,2592278,2868,0.0039
JBQVBD010000010.1,1106577,1106906,2866,0.0039
JBQVBD010000015.1,1201731,1203044,2862,0.0039
JBQVBD010000010.1,1363500,1363893,2842,0.0039
JBQVBD010000014.1,3118454,3121545,2831,0.0039
JBQVBD010000017.1,811444,811547,2825,0.0039
JBQVBD010000010.1,953845,954612,2731,0.0037
JBQVBD010000016.1,2638120,2638684,2727,0.0037
JBQVBD010000011.1,1329968,1330429,2725,0.0037
JBQVBD010000017.1,757281,757458,2710,0.0037
JBQVBD010000015.1,2099316,2099799,2707,0.0037
JBQVBD010000017.1,1860538,1860738,2698,0.0037
JBQVBD010000008.1,84622,86006,2684,0.0037
JBQVBD010000016.1,4846711,4848049,2675,0.0037
JBQVBD010000015.1,813375,813958,2675,0.0037
JBQVBD010000016.1,1577926,1578294,2672,0.0037
JBQVBD010000015.1,1517191,1518611,2669,0.0037
JBQVBD010000015.1,318223,321996,2661,0.0037
JBQVBD010000004.1,1029252,1029494,2613,0.0036
JBQVBD010000016.1,2346336,2346868,2606,0.0036
JBQVBD010000016.1,4055561,4055980,2605,0.0036
JBQVBD010000010.1,286034,286427,2572,0.0035
JBQVBD010000010.1,1802092,1804572,2570,0.0035
JBQVBD010000017.1,3467296,3467734,2568,0.0035
JBQVBD010000015.1,3051442,3052112,2559,0.0035
JBQVBD010000016.1,4857617,4858159,2555,0.0035
JBQVBD010000016.1,2127432,2128003,2552,0.0035
JBQVBD010000011.1,1767229,1767657,2512,0.0034
JBQVBD010000012.1,1168668,1169153,2511,0.0034
JBQVBD010000010.1,1702460,1702593,2468,0.0034
JBQVBD010000016.1,3095274,3095582,2411,0.0033
JBQVBD010000017.1,3479455,3479714,2407,0.0033
JBQVBD010000017.1,3359418,3360211,2405,0.0033
JBQVBD010000010.1,1307587,1308318,2405,0.0033
JBQVBD010000006.1,1343168,1343516,2403,0.0033
JBQVBD010000005.1,850979,854804,2396,0.0033
JBQVBD010000017.1,3005158,3005642,2386,0.0033
JBQVBD010000015.1,3463141,3463358,2357,0.0032
JBQVBD010000007.1,907440,907660,2349,0.0032
JBQVBD010000007.1,243984,244492,2348,0.0032
JBQVBD010000017.1,1214816,1215274,2340,0.0032
JBQVBD010000016.1,4808456,4808651,2312,0.0032
JBQVBD010000010.1,1748688,1750208,2311,0.0032
JBQVBD010000016.1,2834026,2836596,2292,0.0031
JBQVBD010000012.1,988354,988721,2290,0.0031
JBQVBD010000015.1,3159954,3161577,2278,0.0031
JBQVBD010000010.1,1713424,1713740,2265,0.0031
JBQVBD010000017.1,1596815,1597420,2264,0.0031
JBQVBD010000017.1,3011151,3011871,2254,0.0031
JBQVBD010000006.1,1177353,1177982,2252,0.0031
JBQVBD010000015.1,3244538,3247421,2242,0.0031
JBQVBD010000013.1,52081,52527,2242,0.0031
JBQVBD010000017.1,259634,259763,2239,0.0031
JBQVBD010000004.1,304191,304670,2228,0.0031
JBQVBD010000017.1,2999092,3001899,2223,0.0030
JBQVBD010000016.1,2205549,2206151,2218,0.0030
JBQVBD010000016.1,2394498,2394827,2214,0.0030
JBQVBD010000010.1,1611832,1612029,2209,0.0030
JBQVBD010000015.1,2739570,2739820,2199,0.0030
JBQVBD010000008.1,1072658,1074761,2199,0.0030
JBQVBD010000011.1,2739168,2739962,2194,0.0030
JBQVBD010000008.1,729696,732215,2165,0.0030
JBQVBD010000016.1,1999406,2000161,2162,0.0030
JBQVBD010000011.1,2132213,2133210,2162,0.0030
JBQVBD010000017.1,2255511,2255773,2158,0.0030
JBQVBD010000012.1,2910651,2914970,2156,0.0030
JBQVBD010000015.1,1478635,1478877,2149,0.0029
JBQVBD010000015.1,1456811,1459291,2149,0.0029
JBQVBD010000009.1,260511,260767,2142,0.0029
JBQVBD010000016.1,2268529,2269102,2141,0.0029
JBQVBD010000014.1,1063398,1064069,2136,0.0029
JBQVBD010000016.1,3896836,3898781,2134,0.0029
JBQVBD010000011.1,125098,126763,2134,0.0029
JBQVBD010000017.1,2540598,2542014,2131,0.0029
JBQVBD010000008.1,608346,609244,2129,0.0029
JBQVBD010000016.1,3923534,3924181,2128,0.0029
JBQVBD010000013.1,2495318,2496161,2123,0.0029
JBQVBD010000014.1,1017100,1017262,2111,0.0029
JBQVBD010000016.1,3033589,3033803,2105,0.0029
JBQVBD010000012.1,1411345,1411838,2102,0.0029
JBQVBD010000011.1,469158,470203,2080,0.0029
JBQVBD010000016.1,1989411,1991324,2067,0.0028
JBQVBD010000014.1,2508262,2509084,2061,0.0028
JBQVBD010000015.1,1487509,1488037,2051,0.0028
JBQVBD010000010.1,2587595,2588176,2050,0.0028
JBQVBD010000016.1,2874573,2874829,2049,0.0028
JBQVBD010000015.1,1815478,1815876,2045,0.0028
JBQVBD010000017.1,2777599,2777844,2039,0.0028
JBQVBD010000010.1,2156780,2156995,2031,0.0028
JBQVBD010000014.1,1495715,1496209,2023,0.0028
JBQVBD010000013.1,2455337,2455486,2012,0.0028
JBQVBD010000010.1,2628864,2629166,2002,0.0027
JBQVBD010000009.1,1970357,1970791,1995,0.0027
JBQVBD010000014.1,2565701,2566990,1994,0.0027
JBQVBD010000017.1,3027121,3027326,1984,0.0027
JBQVBD010000010.1,1298489,1299666,1983,0.0027
JBQVBD010000016.1,1960003,1960961,1975,0.0027
JBQVBD010000008.1,601360,602793,1974,0.0027
JBQVBD010000008.1,251078,251726,1950,0.0027
JBQVBD010000013.1,2543505,2543824,1949,0.0027
JBQVBD010000011.1,1771831,1772487,1947,0.0027
JBQVBD010000012.1,1420578,1425234,1940,0.0027
JBQVBD010000017.1,963508,963864,1929,0.0026
JBQVBD010000011.1,429037,430985,1920,0.0026
JBQVBD010000008.1,194428,194847,1918,0.0026
JBQVBD010000016.1,2445175,2445755,1916,0.0026
JBQVBD010000017.1,852575,853002,1912,0.0026
JBQVBD010000014.1,1193104,1193536,1910,0.0026
JBQVBD010000017.1,2046588,2047050,1902,0.0026
JBQVBD010000007.1,719636,720284,1901,0.0026
JBQVBD010000006.1,1311214,1311593,1898,0.0026
JBQVBD010000012.1,572763,573104,1892,0.0026
JBQVBD010000009.1,656866,657394,1891,0.0026
JBQVBD010000017.1,1122872,1123682,1884,0.0026
JBQVBD010000013.1,3026149,3026761,1883,0.0026
JBQVBD010000015.1,987976,988247,1869,0.0026
JBQVBD010000012.1,2467012,2467599,1855,0.0025
JBQVBD010000017.1,3448103,3448445,1853,0.0025
JBQVBD010000003.1,66059,67660,1851,0.0025
JBQVBD010000010.1,2715352,2715970,1847,0.0025
JBQVBD010000017.1,2832238,2832644,1845,0.0025
JBQVBD010000010.1,2502150,2502472,1843,0.0025
JBQVBD010000013.1,2038048,2038512,1823,0.0025
JBQVBD010000010.1,2764368,2764763,1821,0.0025
JBQVBD010000007.1,577360,578225,1816,0.0025
JBQVBD010000016.1,944559,945461,1807,0.0025
JBQVBD010000003.1,835268,835599,1791,0.0025
JBQVBD010000010.1,2084268,2084514,1789,0.0025
JBQVBD010000016.1,2910858,2911489,1788,0.0025
JBQVBD010000016.1,2876250,2877645,1788,0.0025
JBQVBD010000015.1,766442,766711,1787,0.0025
JBQVBD010000006.1,1317776,1318083,1781,0.0024
JBQVBD010000016.1,2669284,2669430,1780,0.0024
JBQVBD010000015.1,796059,796391,1774,0.0024
JBQVBD010000007.1,263036,263256,1771,0.0024
JBQVBD010000014.1,750248,750606,1768,0.0024
JBQVBD010000005.1,949549,950376,1767,0.0024
JBQVBD010000004.1,662445,663647,1766,0.0024
JBQVBD010000017.1,1078973,1079217,1760,0.0024
JBQVBD010000015.1,2114061,2114838,1759,0.0024
JBQVBD010000016.1,2838398,2838624,1753,0.0024
JBQVBD010000015.1,578720,578989,1752,0.0024
JBQVBD010000010.1,2010180,2010364,1748,0.0024
JBQVBD010000015.1,1870934,1871803,1730,0.0024
JBQVBD010000010.1,2244018,2246454,1726,0.0024
JBQVBD010000017.1,2354219,2354616,1724,0.0024
JBQVBD010000010.1,2499895,2500733,1722,0.0024
JBQVBD010000014.1,585463,585739,1714,0.0024
JBQVBD010000014.1,2217894,2218407,1714,0.0024
JBQVBD010000007.1,632762,634304,1699,0.0023
JBQVBD010000012.1,1772778,1773857,1694,0.0023
JBQVBD010000016.1,2073203,2073827,1689,0.0023
JBQVBD010000015.1,1095077,1095564,1689,0.0023
JBQVBD010000010.1,1952914,1953376,1679,0.0023
JBQVBD010000017.1,316733,317313,1668,0.0023
JBQVBD010000010.1,1592166,1592745,1665,0.0023
JBQVBD010000011.1,792922,793550,1661,0.0023
JBQVBD010000009.1,530664,531242,1659,0.0023
JBQVBD010000017.1,2359425,2360065,1658,0.0023
JBQVBD010000010.1,2750523,2752426,1655,0.0023
JBQVBD010000010.1,1732510,1732726,1650,0.0023
JBQVBD010000004.1,522066,522913,1642,0.0023
JBQVBD010000013.1,2247392,2249212,1637,0.0022
JBQVBD010000015.1,731814,732522,1635,0.0022
JBQVBD010000015.1,2126870,2127103,1629,0.0022
JBQVBD010000017.1,4878865,4879254,1616,0.0022
JBQVBD010000017.1,1476338,1477020,1616,0.0022
JBQVBD010000010.1,1246145,1246319,1615,0.0022
JBQVBD010000016.1,2903877,2905373,1611,0.0022
JBQVBD010000004.1,269342,269869,1611,0.0022
JBQVBD010000017.1,2026482,2027655,1603,0.0022
JBQVBD010000016.1,4435969,4436525,1589,0.0022
JBQVBD010000017.1,2814886,2815150,1579,0.0022
JBQVBD010000011.1,2520406,2520660,1579,0.0022
JBQVBD010000017.1,1430471,1431583,1576,0.0022
JBQVBD010000015.1,778814,781536,1574,0.0022
JBQVBD010000017.1,3366970,3367458,1569,0.0022
JBQVBD010000009.1,2488076,2488222,1562,0.0021
JBQVBD010000007.1,619640,620944,1560,0.0021
JBQVBD010000015.1,675738,677891,1552,0.0021
JBQVBD010000010.1,1115327,1115704,1552,0.0021
JBQVBD010000003.1,737940,738566,1552,0.0021
JBQVBD010000008.1,396851,397432,1547,0.0021
JBQVBD010000016.1,4869434,4871961,1546,0.0021
JBQVBD010000017.1,3099280,3102631,1532,0.0021
JBQVBD010000009.1,1042098,1043403,1531,0.0021
JBQVBD010000015.1,1592577,1593390,1527,0.0021
JBQVBD010000003.1,53386,53571,1517,0.0021
JBQVBD010000016.1,1953890,1954084,1515,0.0021
JBQVBD010000016.1,3913193,3913668,1513,0.0021
JBQVBD010000017.1,1101597,1101845,1504,0.0021
JBQVBD010000010.1,1844833,1845081,1504,0.0021
JBQVBD010000010.1,797952,798447,1499,0.0021
JBQVBD010000016.1,3050034,3050333,1495,0.0021
JBQVBD010000011.1,2086208,2086440,1492,0.0020
JBQVBD010000007.1,1191091,1191583,1476,0.0020
JBQVBD010000010.1,662640,663710,1472,0.0020
JBQVBD010000017.1,3617487,3618169,1470,0.0020
JBQVBD010000013.1,1960908,1962845,1470,0.0020
JBQVBD010000009.1,1302433,1303064,1462,0.0020
JBQVBD010000011.1,1268266,1269014,1461,0.0020
JBQVBD010000017.1,4713161,4713350,1457,0.0020
JBQVBD010000008.1,451419,452868,1456,0.0020
JBQVBD010000015.1,1935837,1936197,1453,0.0020
JBQVBD010000010.1,2033847,2037105,1440,0.0020
JBQVBD010000017.1,4586339,4587385,1438,0.0020
JBQVBD010000010.1,1175577,1176009,1434,0.0020
JBQVBD010000017.1,2693625,2694073,1433,0.0020
JBQVBD010000014.1,2664837,2665163,1432,0.0020
JBQVBD010000012.1,2445393,2447927,1431,0.0020
JBQVBD010000011.1,228434,230813,1430,0.0020
JBQVBD010000016.1,2313489,2313895,1428,0.0020
JBQVBD010000012.1,1531143,1531393,1426,0.0020
JBQVBD010000007.1,216383,216757,1424,0.0020
JBQVBD010000009.1,892254,893865,1423,0.0020
JBQVBD010000007.1,180338,180670,1416,0.0019
JBQVBD010000005.1,919276,920087,1416,0.0019
JBQVBD010000007.1,705455,707186,1414,0.0019
JBQVBD010000016.1,4740133,4740455,1409,0.0019
JBQVBD010000008.1,1745993,1746325,1409,0.0019
JBQVBD010000008.1,1581760,1582344,1409,0.0019
JBQVBD010000013.1,1253371,1254028,1408,0.0019
JBQVBD010000016.1,1497104,1497914,1404,0.0019
JBQVBD010000016.1,3029710,3030038,1399,0.0019
JBQVBD010000011.1,2584041,2584706,1396,0.0019
JBQVBD010000003.1,6529,6809,1395,0.0019
JBQVBD010000015.1,3326227,3327053,1392,0.0019
JBQVBD010000011.1,1661442,1661783,1391,0.0019
JBQVBD010000017.1,4815717,4816056,1385,0.0019
JBQVBD010000013.1,1786401,1786595,1383,0.0019
JBQVBD010000012.1,2457514,2460627,1381,0.0019
JBQVBD010000015.1,937550,938265,1380,0.0019
JBQVBD010000015.1,470571,470876,1380,0.0019
JBQVBD010000017.1,2067711,2067917,1371,0.0019
JBQVBD010000016.1,2809925,2810240,1370,0.0019
JBQVBD010000016.1,1567732,1568879,1366,0.0019
JBQVBD010000010.1,2341292,2341779,1366,0.0019
JBQVBD010000003.1,80400,80770,1366,0.0019
JBQVBD010000010.1,2354659,2355242,1358,0.0019
JBQVBD010000015.1,3821636,3822529,1356,0.0019
JBQVBD010000017.1,2661068,2661464,1354,0.0019
JBQVBD010000010.1,2202490,2205444,1352,0.0019
JBQVBD010000006.1,1179703,1180047,1349,0.0019
JBQVBD010000016.1,4776580,4778866,1346,0.0018
JBQVBD010000010.1,2748465,2749722,1345,0.0018
JBQVBD010000010.1,2728519,2728989,1344,0.0018
JBQVBD010000016.1,4251253,4251941,1342,0.0018
JBQVBD010000007.1,194940,196967,1339,0.0018
JBQVBD010000011.1,1789032,1789275,1328,0.0018
JBQVBD010000011.1,1530376,1530838,1324,0.0018
JBQVBD010000016.1,4513394,4513699,1323,0.0018
JBQVBD010000015.1,3171195,3172243,1322,0.0018
JBQVBD010000017.1,66148,66907,1321,0.0018
JBQVBD010000007.1,1213336,1213857,1314,0.0018
JBQVBD010000014.1,1295040,1295910,1311,0.0018
JBQVBD010000011.1,1494932,1495203,1311,0.0018
JBQVBD010000010.1,739532,739946,1308,0.0018
JBQVBD010000009.1,1137630,1137888,1307,0.0018
JBQVBD010000008.1,1052724,1053247,1304,0.0018
JBQVBD010000015.1,599411,599822,1295,0.0018
JBQVBD010000010.1,2550263,2551397,1295,0.0018
JBQVBD010000011.1,913264,913683,1294,0.0018
JBQVBD010000017.1,2263044,2263409,1291,0.0018
JBQVBD010000017.1,2953120,2953397,1287,0.0018
JBQVBD010000016.1,610327,610683,1287,0.0018
JBQVBD010000016.1,4159971,4160154,1282,0.0018
JBQVBD010000010.1,2566355,2566504,1279,0.0018
JBQVBD010000013.1,1494934,1495235,1276,0.0018
JBQVBD010000003.1,724024,725930,1275,0.0017
JBQVBD010000016.1,1140079,1141280,1274,0.0017
JBQVBD010000014.1,1611614,1611952,1273,0.0017
JBQVBD010000016.1,1828826,1829190,1272,0.0017
JBQVBD010000014.1,2692038,2692214,1268,0.0017
JBQVBD010000013.1,1464370,1464593,1267,0.0017
JBQVBD010000013.1,2385102,2385436,1265,0.0017
JBQVBD010000012.1,1933258,1933775,1263,0.0017
JBQVBD010000011.1,1427051,1427256,1261,0.0017
JBQVBD010000014.1,2543300,2547707,1256,0.0017
JBQVBD010000017.1,2389173,2389335,1253,0.0017
JBQVBD010000017.1,1718573,1719102,1251,0.0017
JBQVBD010000016.1,4520461,4521018,1249,0.0017
JBQVBD010000014.1,1524076,1524433,1249,0.0017
JBQVBD010000011.1,2271957,2272128,1249,0.0017
JBQVBD010000010.1,1756297,1756427,1245,0.0017
JBQVBD010000017.1,4478729,4480641,1241,0.0017
JBQVBD010000017.1,2480871,2481048,1241,0.0017
JBQVBD010000011.1,2187592,2188355,1241,0.0017
JBQVBD010000017.1,992898,993182,1240,0.0017
JBQVBD010000017.1,4588317,4588666,1238,0.0017
JBQVBD010000007.1,582524,582873,1237,0.0017
JBQVBD010000004.1,670113,670305,1234,0.0017
JBQVBD010000017.1,2391274,2392010,1224,0.0017
JBQVBD010000017.1,3368277,3368679,1220,0.0017
JBQVBD010000015.1,1309864,1310531,1219,0.0017
JBQVBD010000011.1,1393804,1394360,1219,0.0017
JBQVBD010000007.1,853553,853973,1215,0.0017
JBQVBD010000017.1,2806977,2807195,1213,0.0017
JBQVBD010000016.1,4615054,4615589,1213,0.0017
JBQVBD010000016.1,4479727,4480056,1211,0.0017
JBQVBD010000015.1,1327265,1329150,1209,0.0017
JBQVBD010000017.1,4243362,4244035,1208,0.0017
JBQVBD010000017.1,3772802,3773089,1207,0.0017
JBQVBD010000015.1,1443943,1444523,1207,0.0017
JBQVBD010000008.1,449514,449888,1207,0.0017
JBQVBD010000007.1,605595,606131,1205,0.0017
JBQVBD010000004.1,1033284,1034636,1205,0.0017
JBQVBD010000017.1,2081117,2083009,1202,0.0016
JBQVBD010000017.1,1117181,1120117,1201,0.0016
JBQVBD010000010.1,1237843,1238037,1201,0.0016
JBQVBD010000016.1,2556734,2557191,1200,0.0016
JBQVBD010000015.1,3528297,3529190,1199,0.0016
JBQVBD010000017.1,3151037,3151748,1193,0.0016
JBQVBD010000015.1,1597718,1598198,1192,0.0016
JBQVBD010000002.1,192010,192927,1190,0.0016
JBQVBD010000017.1,4365707,4366087,1189,0.0016
